"CountyName","RegionName","Date","Price"
"Queens","Jamaica",2008-07-01,335
"New York","East Harlem",2008-07-01,723
"Kings","Bushwick",2008-07-01,340
"Kings","East Flatbush",2008-07-01,297
"Queens","Corona",2008-07-01,399
"Kings","Sunset Park",2008-07-01,438
"Kings","Bensonhurst",2008-07-01,365
"New York","Lower East Side",2008-07-01,1002
"Bronx","South Bronx",2008-07-01,228
"Queens","Flushing",2008-07-01,337
"Queens","South Ozone Park",2008-07-01,350
"Queens","Murray Hill",2008-07-01,386
"Queens","Forest Hills",2008-07-01,426
"Queens","Far Rockaway",2008-07-01,280
"Queens","Ridgewood",2008-07-01,359
"Queens","East Elmhurst",2008-07-01,356
"Kings","Flatlands",2008-07-01,328
"Queens","Ozone Park",2008-07-01,332
"Queens","Queens Village",2008-07-01,319
"Kings","Brownsville",2008-07-01,323
"Queens","Richmond Hill",2008-07-01,317
"Kings","Bay Ridge",2008-07-01,378
"Kings","Bath Beach",2008-07-01,357
"Queens","Bayside",2008-07-01,456
"Queens","Maspeth",2008-07-01,386
"New York","Hamilton Heights",2008-07-01,497
"Queens","Woodside",2008-07-01,383
"Queens","Sunnyside",2008-07-01,372
"Kings","Coney Island",2008-07-01,300
"Queens","Rego Park",2008-07-01,356
"New York","Morningside Heights",2008-07-01,797
"Queens","Kew Gardens Hills",2008-07-01,340
"Queens","Woodhaven",2008-07-01,314
"Kings","Dyker Heights",2008-07-01,416
"Queens","St. Albans",2008-07-01,293
"Queens","Hollis",2008-07-01,284
"Queens","Whitestone",2008-07-01,442
"Kings","Fort Greene",2008-07-01,587
"Kings","Greenwood",2008-07-01,534
"Bronx","Kingsbridge",2008-07-01,288
"Queens","Rochdale",2008-07-01,321
"Queens","Glendale",2008-07-01,352
"Queens","Middle Village",2008-07-01,384
"Kings","Homecrest",2008-07-01,388
"Queens","Bellerose",2008-07-01,354
"New York","Clinton",2008-07-01,1190
"New York","Financial District",2008-07-01,1065
"Queens","Briarwood",2008-07-01,373
"Kings","Brighton Beach",2008-07-01,492
"Queens","Auburndale",2008-07-01,410
"Queens","Laurelton",2008-07-01,317
"Queens","Rosedale",2008-07-01,320
"Queens","Howard Beach",2008-07-01,322
"Queens","College Point",2008-07-01,379
"Kings","Marine Park",2008-07-01,371
"Queens","Douglaston-Little Neck",2008-07-01,462
"Queens","Fresh Meadows",2008-07-01,409
"Queens","Oakland Gardens",2008-07-01,433
"New York","West Village",2008-07-01,1446
"Queens","Kew Gardens",2008-07-01,348
"Kings","Wingate",2008-07-01,296
"Kings","Prospect Heights",2008-07-01,479
"Kings","New Utrecht",2008-07-01,393
"New York","Tribeca",2008-07-01,1293
"New York","Carnegie Hill",2008-07-01,1315
"Queens","Rockaway Park",2008-07-01,321
"New York","Tudor City",2008-07-01,1077
"New York","Battery Park",2008-07-01,1035
"Queens","Cambria Heights",2008-07-01,342
"Queens","Hillcrest",2008-07-01,383
"Queens","Jamaica Estates",2008-07-01,428
"Queens","Glen Oaks",2008-07-01,469
"Queens","Bay Terrace",2008-07-01,519
"Queens","Floral park",2008-07-01,430
"Kings","Boerum Hill",2008-07-01,582
"Queens","Jamaica Hills",2008-07-01,355
"Queens","Arverne",2008-07-01,256
"Kings","Georgetown",2008-07-01,359
"Kings","Downtown",2008-07-01,619
"Queens","Pomonok",2008-07-01,420
"Bronx","Clason Point",2008-07-01,253
"New York","Little Italy",2008-07-01,1301
"Kings","Windsor Terrace",2008-07-01,556
"Queens","Rockaway Beach",2008-07-01,298
"Queens","Springfield Gardens",2008-07-01,334
"Bronx","Country Club",2008-07-01,288
"Kings","Cobble Hill",2008-07-01,629
"Bronx","Woodlawn",2008-07-01,259
"Kings","Manhattan Beach",2008-07-01,561
"Kings","Gerritsen Beach",2008-07-01,370
"Queens","Belle Harbor",2008-07-01,397
"New York","Garment District",2008-07-01,1256
"Kings","Bergen Beach",2008-07-01,371
"Bronx","City Island",2008-07-01,377
"Kings","Columbia Street Waterfront District",2008-07-01,596
"Queens","Utopia",2008-07-01,462
"Queens","Malba",2008-07-01,457
"Queens","Neponsit",2008-07-01,538
"New York","Upper West Side",2008-08-01,1197
"Kings","East New York",2008-08-01,286
"New York","Washington Heights",2008-08-01,491
"Queens","Astoria",2008-08-01,386
"Kings","Flatbush",2008-08-01,364
"Queens","Jamaica",2008-08-01,332
"New York","East Harlem",2008-08-01,723
"Kings","Bushwick",2008-08-01,338
"Kings","East Flatbush",2008-08-01,293
"Queens","Corona",2008-08-01,395
"Kings","Sunset Park",2008-08-01,441
"Kings","Bensonhurst",2008-08-01,365
"New York","Lower East Side",2008-08-01,1006
"Bronx","South Bronx",2008-08-01,231
"Queens","Flushing",2008-08-01,334
"Queens","South Ozone Park",2008-08-01,346
"Queens","Murray Hill",2008-08-01,385
"Queens","Forest Hills",2008-08-01,425
"Queens","Far Rockaway",2008-08-01,280
"Queens","Ridgewood",2008-08-01,354
"Queens","East Elmhurst",2008-08-01,350
"Kings","Flatlands",2008-08-01,325
"Queens","Ozone Park",2008-08-01,329
"Queens","Queens Village",2008-08-01,317
"Kings","Brownsville",2008-08-01,322
"Queens","Richmond Hill",2008-08-01,311
"Kings","Bay Ridge",2008-08-01,377
"Kings","Bath Beach",2008-08-01,354
"Queens","Bayside",2008-08-01,453
"Queens","Maspeth",2008-08-01,382
"New York","Hamilton Heights",2008-08-01,499
"Queens","Woodside",2008-08-01,378
"Queens","Sunnyside",2008-08-01,367
"Kings","Coney Island",2008-08-01,299
"Queens","Rego Park",2008-08-01,353
"New York","Morningside Heights",2008-08-01,788
"Queens","Kew Gardens Hills",2008-08-01,337
"Queens","Woodhaven",2008-08-01,311
"Kings","Dyker Heights",2008-08-01,411
"Queens","St. Albans",2008-08-01,290
"Queens","Hollis",2008-08-01,281
"Queens","Whitestone",2008-08-01,439
"Kings","Fort Greene",2008-08-01,594
"Kings","Greenwood",2008-08-01,538
"Bronx","Kingsbridge",2008-08-01,289
"Queens","Rochdale",2008-08-01,319
"Queens","Glendale",2008-08-01,348
"Queens","Middle Village",2008-08-01,380
"Kings","Homecrest",2008-08-01,387
"Queens","Bellerose",2008-08-01,350
"New York","Clinton",2008-08-01,1192
